customerID,gender,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2351-RRBUE,Female,No,Mailed check,20.65,134.05,No
5980-BDHPY,Male,Yes,Bank transfer (automatic),87.1,6230.1,No
1498-DQNRX,Female,No,Mailed check,19.85,573.05,No
9469-WEJBT,Male,Yes,Electronic check,90.35,3419.3,No
3331-HQDTW,Female,Yes,Mailed check,109.8,3587.25,Yes
9490-DFPMD,Female,Yes,Electronic check,84.65,3541.35,Yes
2581-VKIRT,Female,No,Mailed check,65.5,3801.3,No
5442-XSDCW,Male,Yes,Bank transfer (automatic),79.5,868.5,Yes
7426-WEIJX,Male,Yes,Electronic check,80.95,4859.1,No
2851-MMUTZ,Female,Yes,Mailed check,56.15,1439.35,No
3049-NDXFL,Female,No,Mailed check,85.8,85.8,Yes
8580-AECUZ,Male,Yes,Electronic check,79.1,79.1,Yes
3307-TLCUD,Male,No,Mailed check,34.4,592.75,No
6625-FLENO,Male,No,Mailed check,20.75,1185.95,No
2967-MXRAV,Male,No,Mailed check,18.8,18.8,No
7963-GQRMY,Female,No,Mailed check,44.3,134.5,Yes
8189-HBVRW,Female,No,Electronic check,90.8,4921.2,No
4163-KIUHY,Male,Yes,Electronic check,25.6,901.25,No
1228-FZFRV,Male,No,Credit card (automatic),105.95,5341.8,Yes
3500-NSDOA,Male,No,Credit card (automatic),70.8,4859.95,No
1171-TYKUR,Male,No,Electronic check,25.4,1139.2,No
3761-FLYZI,Female,Yes,Bank transfer (automatic),108.8,7082.45,No
2058-DCJBE,Male,Yes,Electronic check,69.75,324.6,Yes
5364-XYIRR,Male,Yes,Electronic check,94.65,4812.75,Yes
4829-AUOAX,Female,No,Bank transfer (automatic),96.05,4399.5,Yes
1219-NNDDO,Female,Yes,Electronic check,76.85,663.55,No
8388-DMKAE,Female,No,Mailed check,20.25,174.65,No
4403-BWPAY,Male,Yes,Credit card (automatic),24.8,321.7,No
9659-QEQSY,Female,Yes,Electronic check,115.65,5125.5,No
5405-ZMYXQ,Female,Yes,Credit card (automatic),74.6,548.9,No
5047-LHVLY,Male,Yes,Mailed check,50.15,50.15,Yes
1442-OKRJE,Male,Yes,Bank transfer (automatic),103.15,7031.3,No
4737-AQCPU,Male,No,Credit card (automatic),72.1,5016.65,No
9158-VCTQB,Female,Yes,Bank transfer (automatic),113.6,4594.95,Yes
2808-CHTDM,Female,No,Mailed check,25.1,611.45,No
6311-UEUME,Female,Yes,Electronic check,78.9,2384.15,Yes
0793-TWELN,Female,Yes,Electronic check,80.15,319.85,No
3283-WCWXT,Male,No,Mailed check,25.4,153.3,No
1060-ENTOF,Female,Yes,Credit card (automatic),105.4,7035.6,No
0999-QXNSA,Male,Yes,Mailed check,45.75,344.2,No
5451-MHQOF,Male,Yes,Mailed check,24.45,1431.65,No
4836-WNFNO,Female,No,Credit card (automatic),25,1849.2,No
9225-BZLNZ,Male,Yes,Electronic check,85.25,6083.1,No
0354-VXMJC,Male,No,Credit card (automatic),19.6,426.65,No
4422-QVIJA,Female,No,Mailed check,50.15,1655.35,No
9365-SRSZE,Male,Yes,Electronic check,70.55,1943.9,No
6839-ITVZJ,Female,Yes,Electronic check,60.05,1616.15,Yes
8332-OSJDW,Male,No,Mailed check,26.4,314.95,No
4735-BJKOU,Female,No,Mailed check,20.15,804.85,No
0274-JKUJR,Male,No,Mailed check,58.85,465.7,No
5740-YHGTW,Male,Yes,Credit card (automatic),97.55,6669.05,No
8917-SZTTJ,Male,No,Credit card (automatic),19.65,1161.75,No
1696-MZVAU,Male,Yes,Credit card (automatic),25.25,947.75,No
7359-WWYJV,Male,No,Credit card (automatic),114.45,8375.05,No
0375-HVGXO,Female,Yes,Electronic check,34.7,34.7,Yes
4906-ZHGPK,Male,Yes,Electronic check,70.7,3770,No
8593-WHYHV,Male,Yes,Electronic check,85.3,264.8,Yes
3795-GWTRD,Female,No,Credit card (automatic),75.55,4707.85,No
1298-PHBTI,Male,Yes,Electronic check,84.8,6152.4,No
6223-DHJGV,Female,Yes,Mailed check,20.65,958.1,No
6961-MJKBO,Male,No,Bank transfer (automatic),20.45,943,No
6097-EQISJ,Female,Yes,Credit card (automatic),102.45,6615.15,Yes
4423-YLHDV,Female,Yes,Bank transfer (automatic),104.4,2200.25,Yes
8158-WPEZG,Male,Yes,Electronic check,35.65,425.1,No
0107-YHINA,Male,Yes,Electronic check,99.75,99.75,Yes
4918-FYJNT,Female,No,Electronic check,90.45,5044.8,No
0727-BNRLG,Male,Yes,Credit card (automatic),97.65,6743.55,No
4854-CIDCF,Female,No,Electronic check,73.85,196.4,No
8640-SDGKB,Male,Yes,Electronic check,74.4,299.7,Yes
3280-MRDOF,Male,Yes,Credit card (automatic),69.1,2093.9,No
6435-SRWBJ,Female,Yes,Electronic check,82.75,417.75,No
9964-WBQDJ,Female,Yes,Credit card (automatic),24.4,1725.4,No
6303-KFWSL,Female,Yes,Electronic check,55.25,1620.2,No
1702-CCFNJ,Male,No,Bank transfer (automatic),61.35,3169.55,No
8932-CZHRQ,Male,No,Credit card (automatic),76.75,5233.25,No
0386-CWRGM,Female,No,Mailed check,19.4,967.85,No
5515-RUGKN,Male,Yes,Credit card (automatic),54.75,438.05,No
0404-AHASP,Male,No,Credit card (automatic),19.7,1421.9,No
7279-NMVJC,Female,No,Bank transfer (automatic),19.9,323.15,No
2081-VEYEH,Male,Yes,Electronic check,107.95,318.6,No
6407-UTSLV,Female,Yes,Bank transfer (automatic),83.8,163.7,No
4116-TZAQJ,Female,Yes,Credit card (automatic),74.25,639.65,Yes
9060-HJJRW,Female,Yes,Credit card (automatic),56.4,2928.5,No
2587-YNLES,Female,No,Mailed check,20.1,100.35,No
7398-SKNQZ,Female,No,Electronic check,94.9,273.2,No
5935-FCCNB,Female,Yes,Electronic check,94.2,1608.15,No
1958-RNRKS,Male,No,Electronic check,49.9,1441.95,No
5136-RGMZO,Male,Yes,Electronic check,71.05,2168.15,No
8345-MVDYC,Female,No,Bank transfer (automatic),81.65,3618.7,No
8226-BXGES,Male,No,Bank transfer (automatic),89.45,5692.65,No
3877-JRJIP,Male,Yes,Electronic check,59.85,59.85,Yes
8375-DKEBR,Female,Yes,Electronic check,69.6,69.6,Yes
9705-IOVQQ,Male,No,Electronic check,99,5969.3,No
1015-OWJKI,Male,No,Mailed check,19.05,19.05,No
7511-YMXVQ,Male,Yes,Electronic check,45.4,418.8,Yes
2040-XBAVJ,Male,No,Bank transfer (automatic),114.45,8100.55,No
7551-JOHTI,Female,No,Mailed check,19.5,19.5,Yes
8887-IPQNC,Female,Yes,Mailed check,44.25,313.45,No
8646-JCOMS,Female,Yes,Bank transfer (automatic),90.55,6130.95,No
9804-ICWBG,Male,Yes,Electronic check,69.9,69.9,Yes
1222-KJNZD,Male,Yes,Bank transfer (automatic),20.4,745.3,No
0106-GHRQR,Male,Yes,Bank transfer (automatic),71.4,1212.1,No
5318-IXUZF,Female,Yes,Bank transfer (automatic),87.15,183.75,Yes
3768-VHXQO,Male,No,Credit card (automatic),24.85,1583.5,No
8952-WCVCD,Female,Yes,Bank transfer (automatic),104.45,4162.05,No
2418-TPEUN,Female,Yes,Credit card (automatic),19.8,1119.9,No
3963-RYFNS,Female,Yes,Bank transfer (automatic),116.45,8013.55,No
3198-VELRD,Female,Yes,Bank transfer (automatic),84.75,264.85,Yes
8540-ZQGEA,Female,No,Credit card (automatic),20.05,1102.4,No
1320-REHCS,Male,Yes,Electronic check,110.75,5832,No
4137-JOPHL,Female,Yes,Bank transfer (automatic),89.7,4304.5,No
9436-ZBZCT,Male,Yes,Electronic check,89.95,1178.4,Yes
7801-CEDNV,Male,No,Credit card (automatic),48.7,1421.75,No
2057-BOYKM,Female,Yes,Bank transfer (automatic),96.6,6827.5,No
3658-QQJYD,Male,Yes,Credit card (automatic),74.3,4698.05,No
1803-BGNBD,Female,Yes,Electronic check,54.3,654.5,No
0134-XWXCE,Female,No,Bank transfer (automatic),74.85,3268.05,No
6950-TWMYB,Male,Yes,Bank transfer (automatic),79.95,4362.05,No
5848-FHRFC,Female,No,Bank transfer (automatic),20.05,1386.9,No
2243-FNMMI,Male,No,Mailed check,19.4,415.4,No
2511-MORQY,Male,No,Bank transfer (automatic),54.9,2614.1,No
5356-KZCKT,Male,Yes,Credit card (automatic),24.45,1513.6,No
9470-XCCEM,Male,Yes,Bank transfer (automatic),89.65,3161.6,No
6519-CFDBX,Female,Yes,Electronic check,45.4,80.95,No
3902-MIVLE,Male,No,Mailed check,75.7,4676.7,No
0409-WTMPL,Female,Yes,Credit card (automatic),110.65,6526.65,No
8763-KIAFH,Female,Yes,Mailed check,20.55,583.3,No
3669-WHAFY,Female,Yes,Credit card (automatic),115.15,8078.1,No
3055-VTCGS,Female,No,Credit card (automatic),58.55,3503.5,No
3144-KMTWZ,Male,Yes,Bank transfer (automatic),93.25,6669.45,No
7279-BUYWN,Female,Yes,Electronic check,113.2,4689.5,Yes
7156-MHUGY,Male,Yes,Electronic check,90.5,1201.15,Yes
7198-GLXTC,Male,No,Electronic check,79,143.65,Yes
2007-QVGAW,Female,Yes,Bank transfer (automatic),19.35,1292.65,No
5207-PLSTK,Male,Yes,Mailed check,48.75,48.75,No
2307-FYNNL,Male,Yes,Electronic check,109.05,7108.2,No
5605-XNWEN,Male,Yes,Bank transfer (automatic),25,1802.55,No
2155-AMQRX,Female,Yes,Credit card (automatic),54.9,1505.15,No
6181-AXXYF,Male,No,Credit card (automatic),24.75,1859.1,No
5091-HFAZW,Female,Yes,Electronic check,91.15,168.5,No
0516-VRYBW,Female,No,Bank transfer (automatic),20.15,390.85,Yes
2519-LBNQL,Male,Yes,Electronic check,104.35,6339.45,No
8623-ULFNQ,Female,Yes,Electronic check,66.05,1652.4,No
8380-PEFPE,Male,Yes,Electronic check,71.65,71.65,Yes
5687-DKDTV,Female,No,Mailed check,20.35,77.5,Yes
1568-LJSZU,Male,Yes,Credit card (automatic),92.2,6392.85,No
7530-HDYDS,Female,Yes,Credit card (automatic),84.25,3264.5,Yes
7789-HKSBS,Female,Yes,Bank transfer (automatic),105.2,4599.15,No
7416-CKTEP,Female,Yes,Bank transfer (automatic),19.6,1134.25,No
2586-CWXVV,Male,No,Electronic check,30.4,1621.35,No
3096-IZETN,Female,No,Bank transfer (automatic),78.1,947.3,Yes
2348-KCJLT,Female,Yes,Mailed check,61.5,2722.2,No
8401-EMUWF,Male,Yes,Bank transfer (automatic),69.4,3058.3,No
4193-IBKSW,Male,No,Bank transfer (automatic),24.75,1769.6,No
5377-NDTOU,Female,No,Mailed check,91.05,6293.75,No
5922-ABDVO,Female,No,Mailed check,89.65,1761.05,Yes
2474-LCNUE,Female,Yes,Credit card (automatic),73.65,1642.75,No
0839-QNXME,Female,No,Credit card (automatic),19.4,578.5,No
3506-OVLKD,Male,No,Bank transfer (automatic),26.2,954.9,No
9172-ANCRX,Female,Yes,Electronic check,98.7,973.25,Yes
6650-VJONK,Male,Yes,Bank transfer (automatic),43.85,43.85,No
2178-PMGCJ,Male,Yes,Mailed check,69.7,1490.4,No
7492-TAFJD,Male,No,Mailed check,38.55,280,No
2773-MADBQ,Female,Yes,Mailed check,53.1,1901.25,No
6016-LVTJQ,Female,No,Mailed check,20.65,716.4,No
7860-KSUGX,Male,No,Credit card (automatic),64.45,4720,No
8966-KZXXA,Male,No,Credit card (automatic),25.1,930.95,No
6910-HADCM,Female,No,Electronic check,76.35,76.35,Yes
4816-LXZYW,Female,Yes,Electronic check,79.15,1676.95,Yes
9606-PBKBQ,Male,Yes,Electronic check,85,2642.05,Yes
5149-QYTTU,Female,Yes,Credit card (automatic),95.15,6770.85,No
2070-XYMFH,Female,Yes,Mailed check,79.35,1835.3,No
2085-BOJKI,Male,Yes,Bank transfer (automatic),96.65,1588.25,No
0817-HSUSE,Male,Yes,Electronic check,75.5,75.5,No
5442-PPTJY,Male,No,Mailed check,19.7,258.35,No
1927-QEWMY,Female,No,Credit card (automatic),20.5,1502.25,No
1663-MHLHE,Male,No,Mailed check,19.2,19.2,No
5663-QBGIS,Male,No,Bank transfer (automatic),98.35,6929.4,No
4450-MDZFX,Male,No,Bank transfer (automatic),74.35,4453.3,No
6701-DHKWQ,Female,No,Credit card (automatic),51.35,3244.4,No
7554-AKDQF,Female,No,Mailed check,45.65,323.45,No
3536-IQCTX,Male,No,Electronic check,85.3,2661.1,Yes
4911-BANWH,Female,Yes,Credit card (automatic),86.55,2697.4,Yes
8496-EJAUI,Male,Yes,Credit card (automatic),73.85,1424.5,Yes
0794-YVSGE,Male,No,Bank transfer (automatic),20.3,1401.15,No
5423-BHIXO,Female,Yes,Electronic check,54.2,1739.6,No
6908-VVYHM,Male,Yes,Electronic check,90.65,5931,No
2959-EEXWB,Female,Yes,Bank transfer (automatic),50.9,2333.85,No
1839-UMACK,Male,No,Electronic check,25.05,949.85,No
3030-YDNRM,Male,Yes,Electronic check,74.85,572.45,No
7321-KKSDU,Male,No,Mailed check,20.5,696.8,No
3402-XRIUO,Female,Yes,Mailed check,63.55,1381.8,No
3132-TVFDZ,Male,Yes,Electronic check,44.85,2572.95,Yes
8286-AFUYI,Male,No,Electronic check,47.95,47.95,No
8080-DDEMJ,Male,No,Electronic check,45.1,45.1,Yes
8356-WUAOJ,Female,Yes,Electronic check,45,45,No
6365-MTGZX,Male,Yes,Electronic check,96,2122.45,Yes
1349-WXNGG,Male,No,Bank transfer (automatic),20.05,20.05,Yes
8058-DMYRU,Male,Yes,Electronic check,90.05,4931.8,No
9350-ZXYJC,Female,Yes,Credit card (automatic),25.3,116.95,No
6990-YNRIO,Male,No,Bank transfer (automatic),108.65,6937.95,Yes
8958-JPTRR,Female,No,Electronic check,24.3,1261.7,No
6959-GQEGV,Male,Yes,Electronic check,75.95,3273.8,No
3173-WSSUE,Female,No,Credit card (automatic),19.7,1415.85,No
1265-HVPZB,Male,No,Credit card (automatic),66.4,3958.2,No
4115-UMJFQ,Male,Yes,Bank transfer (automatic),35.75,2492.25,No
7369-TRPFD,Male,No,Mailed check,18.8,279.2,No
1098-KFQEC,Female,No,Credit card (automatic),19.4,1083,No
7190-XHTWJ,Female,No,Mailed check,19.3,755.5,No
0621-TWIEM,Male,Yes,Electronic check,45.55,402.6,Yes
3537-RYBHH,Female,Yes,Credit card (automatic),67.45,3252,No
2485-ITVKB,Female,Yes,Electronic check,35.1,68.75,Yes
3669-OYSJI,Male,No,Credit card (automatic),46.2,46.2,Yes
1612-EOHDH,Female,No,Electronic check,45.15,45.15,Yes
6702-OHFWR,Male,Yes,Electronic check,43.3,43.3,Yes
5296-BFCYD,Male,Yes,Mailed check,20.1,936.85,No
4510-PYUSH,Female,Yes,Credit card (automatic),57.15,2250.65,Yes
9359-JANWS,Female,No,Credit card (automatic),58.9,3857.1,No
7517-SAWMO,Female,Yes,Electronic check,73.2,1441.1,Yes
4143-HHPMK,Male,Yes,Electronic check,85.35,4338.6,Yes
3279-DYZQM,Male,No,Mailed check,19.45,1378.45,No
7054-LGEQW,Female,No,Mailed check,45.95,45.95,Yes
0523-VNGTF,Female,Yes,Electronic check,50.5,2566.3,No
9575-IWCAZ,Male,No,Mailed check,25.1,171,No
7105-MXJLL,Female,No,Mailed check,60.7,1597.4,No
7064-FRRSW,Male,Yes,Electronic check,99,4744.35,No
7940-UQQUG,Female,Yes,Bank transfer (automatic),104.4,6721.6,No
0923-PNFUB,Female,No,Electronic check,83.75,247.25,Yes
3961-SXAXY,Male,Yes,Bank transfer (automatic),44.05,44.05,No
7010-BRBUU,Male,No,Credit card (automatic),24.1,1734.65,No
3566-HJGPK,Male,Yes,Mailed check,45.55,45.55,No
3062-ICYZQ,Female,Yes,Electronic check,93.8,4539.35,No
9938-PRCVK,Female,No,Bank transfer (automatic),19.7,804.25,No
0973-KYVNF,Female,Yes,Credit card (automatic),70.65,5011.15,No
5129-HHMZC,Female,No,Credit card (automatic),86.45,3574.5,No
9637-CDTKZ,Male,Yes,Credit card (automatic),114.1,8086.4,No
3946-JEWRQ,Male,Yes,Credit card (automatic),95.2,4563,No
7873-CVMAW,Male,No,Credit card (automatic),88.55,6362.35,No
0463-WZZKO,Male,Yes,Credit card (automatic),20.75,67.1,No
3494-JCHRQ,Male,Yes,Electronic check,70.05,70.05,Yes
6474-FVJLC,Male,Yes,Electronic check,86,165.45,Yes
4524-QCSSM,Male,Yes,Bank transfer (automatic),44.65,1156.55,No
5832-EXGTT,Male,Yes,Mailed check,60.2,1834.15,No
8840-DQLGN,Female,Yes,Bank transfer (automatic),100.5,3653.35,Yes
2039-JONDJ,Male,No,Bank transfer (automatic),55.45,1477.65,No
7217-JYHOQ,Male,Yes,Credit card (automatic),70.3,1706.45,No
6695-FRVEC,Male,Yes,Bank transfer (automatic),60.4,3953.7,No
4547-LYTDD,Female,No,Electronic check,72.65,1194.3,Yes
9894-QMIMJ,Female,No,Bank transfer (automatic),55.8,1327.85,No
8069-YQQAJ,Male,Yes,Mailed check,31.1,419.7,No
6770-XUAGN,Female,Yes,Electronic check,21,21,Yes
4193-ORFCL,Female,No,Mailed check,45.1,45.1,Yes
1636-NTNCO,Male,Yes,Credit card (automatic),50.95,207.35,No
3466-WAESX,Male,Yes,Electronic check,69.1,1083.7,No
9281-PKKZE,Female,Yes,Electronic check,43.95,2007.85,No
3638-VBZTA,Male,Yes,Bank transfer (automatic),86.5,5882.75,No
7459-IMVYU,Male,No,Electronic check,69.95,2657.55,No
7776-QWNFX,Male,Yes,Bank transfer (automatic),50.4,1527.5,Yes
6689-TCZHQ,Female,No,Electronic check,78.95,378.4,Yes
8563-OYMQY,Male,Yes,Credit card (automatic),90.95,1612.2,No
0754-EEBDC,Male,No,Mailed check,19.9,76.65,No
5777-ZPQNC,Female,No,Electronic check,20.15,260.7,No
1951-IEYXM,Male,Yes,Credit card (automatic),90.6,6441.85,No
3318-NMQXL,Male,Yes,Electronic check,92,266.8,No
3143-ILDAL,Male,Yes,Electronic check,94.45,5124.6,Yes
1022-RKXDR,Female,Yes,Mailed check,24.85,962.25,No
2361-FJWNO,Male,No,Credit card (automatic),36,1382.9,No
2272-UOINI,Female,Yes,Electronic check,78.5,571.05,No
8232-UTFOZ,Male,No,Credit card (automatic),19.95,1399.35,No
3750-YHRYO,Male,No,Mailed check,20.65,150,No
6637-KYRCV,Female,Yes,Electronic check,30.5,167.2,No
5668-MEISB,Female,No,Credit card (automatic),106.1,7657.4,No
0129-QMPDR,Male,Yes,Bank transfer (automatic),20.5,865.05,No
7188-CBBBA,Female,Yes,Electronic check,95.5,6153.85,No
5356-CSVSQ,Female,No,Electronic check,64.6,174.2,No
3221-CJMSG,Male,Yes,Credit card (automatic),51.1,1269.6,No
4720-VSTSI,Female,Yes,Bank transfer (automatic),84.8,3862.55,Yes
3219-JQRSL,Female,No,Credit card (automatic),89.1,6352.4,No
2801-NISEI,Male,No,Electronic check,54.95,1348.5,No
3946-MHCZW,Male,No,Mailed check,50.9,50.9,Yes
4623-ZKHLY,Male,Yes,Bank transfer (automatic),20.45,471.55,No
6732-VAILE,Male,Yes,Credit card (automatic),85.95,5931.75,No
8201-AAXCB,Male,No,Electronic check,60.35,1404.65,No
7696-CFTAT,Male,No,Bank transfer (automatic),19.8,726.1,No
1845-CSBRZ,Female,No,Bank transfer (automatic),85.35,1961.6,No
2123-VSCOT,Female,Yes,Bank transfer (automatic),72.1,4194.85,No
6651-AZVTJ,Male,Yes,Electronic check,99.8,4872.45,Yes
4566-GOLUK,Male,Yes,Bank transfer (automatic),107.35,5118.95,Yes
2484-DGXPZ,Female,Yes,Mailed check,19.55,658.95,Yes
2018-QKYGT,Male,Yes,Electronic check,81.05,81.05,No
2792-VPPET,Male,Yes,Electronic check,20.5,76.95,No
7409-JURKQ,Female,Yes,Bank transfer (automatic),111.8,5809.75,No
3247-MHJKM,Male,No,Mailed check,20.2,20.2,No
1964-SVLEA,Male,Yes,Mailed check,19.7,415.9,No
4587-NUKOX,Female,Yes,Electronic check,79.1,246.5,Yes
7297-DVYGA,Female,Yes,Bank transfer (automatic),19.85,996.95,No
2239-CGBUZ,Female,Yes,Bank transfer (automatic),60.5,3145.15,No
0854-UYHZD,Female,No,Mailed check,19.55,265.3,No
7243-LCGGZ,Female,No,Mailed check,20.9,20.9,No
8267-KFGYD,Male,Yes,Mailed check,21.05,21.05,No
4890-VMUAV,Male,No,Electronic check,71.5,4576.3,No
9261-WDCAF,Male,No,Mailed check,54.65,189.1,No
3764-MNMOI,Male,No,Credit card (automatic),19.2,908.15,No
7442-YGZFK,Male,Yes,Credit card (automatic),49.8,49.8,No
0420-BWTPW,Male,No,Mailed check,25.5,215.2,Yes
8229-BUJHX,Female,No,Bank transfer (automatic),20.5,1500.95,No
7449-HVPIV,Male,Yes,Credit card (automatic),90.4,5099.15,No
5504-WSIUR,Female,Yes,Bank transfer (automatic),90.25,6385.95,No
8183-ONMXC,Female,No,Electronic check,80.75,159.45,Yes
8466-PZBLH,Male,No,Bank transfer (automatic),104.6,6885.75,No
9614-RMGHA,Male,Yes,Bank transfer (automatic),91.85,5940.85,Yes
8735-IJJEG,Male,No,Credit card (automatic),50.2,668.85,No
0564-MUUQK,Female,Yes,Bank transfer (automatic),95.5,1916.2,No
5054-IEXZT,Male,Yes,Electronic check,75.35,75.35,Yes
5834-ASPWA,Male,Yes,Electronic check,75.45,75.45,Yes
0701-RFGFI,Female,Yes,Bank transfer (automatic),95.4,4613.95,No
0019-EFAEP,Female,Yes,Bank transfer (automatic),101.3,7261.25,No
5619-PTMIK,Female,No,Electronic check,53.1,2459.8,No
3737-XBQDD,Male,Yes,Bank transfer (automatic),84.85,2048.8,No
5882-CMAZQ,Female,No,Electronic check,34.25,163.55,No
5846-QFDFI,Female,No,Credit card (automatic),88.6,2888.7,No
4445-KWOKW,Female,Yes,Bank transfer (automatic),60.15,2421.6,No
3511-APPBJ,Male,Yes,Credit card (automatic),99.95,2292.75,No
7967-HYCDE,Male,No,Bank transfer (automatic),70.7,553.4,No
2430-RRYUW,Male,Yes,Mailed check,54.8,3465.7,No
3948-XHGNA,Male,Yes,Bank transfer (automatic),49.55,1210.4,Yes
3723-BFBGR,Male,No,Credit card (automatic),54.8,1291.3,No
0565-IYCGT,Male,Yes,Credit card (automatic),78.6,5356.45,Yes
5447-WZAFP,Female,Yes,Mailed check,100.3,5200.8,No
5110-CHOPY,Female,No,Electronic check,53.6,3237.05,No
5445-UTODQ,Female,Yes,Electronic check,81.1,576.65,Yes
4425-OWHWB,Female,Yes,Credit card (automatic),19.35,433.75,No
7892-QVYKW,Female,No,Electronic check,85.6,1868.4,No
9675-ICXCT,Male,Yes,Electronic check,80.8,5728.55,No
1024-VRZHF,Male,Yes,Electronic check,74.95,825.7,Yes
4703-MQYKT,Male,No,Mailed check,19.6,390.4,No
9497-QCMMS,Male,Yes,Electronic check,93.55,93.55,Yes
5692-ICXLW,Male,Yes,Electronic check,90.7,2845.15,No
0602-DDUML,Female,No,Mailed check,69.75,3894.4,No
2208-MPXIO,Female,Yes,Bank transfer (automatic),20,886.4,No
1960-UYCNN,Male,Yes,Electronic check,95.25,1021.55,No
0348-SDKOL,Female,Yes,Credit card (automatic),102.1,5885.4,Yes
3190-FZATL,Male,No,Mailed check,19.95,268.4,No
7336-RLLRH,Male,No,Mailed check,80.85,2204.35,No
4373-MAVJG,Female,Yes,Bank transfer (automatic),90.9,1259,Yes
8901-HJXTF,Female,No,Mailed check,29.2,309.1,Yes
7710-JSYOA,Female,Yes,Bank transfer (automatic),93.3,6398.05,No
5419-KLXBN,Female,Yes,Bank transfer (automatic),89.15,2257.75,Yes
3424-NMNBO,Male,Yes,Electronic check,108.85,6287.25,Yes
9885-MFVSU,Female,Yes,Credit card (automatic),46.35,1662.05,No
4514-GFCFI,Female,Yes,Electronic check,84.75,1350.15,Yes
0607-MVMGC,Male,No,Credit card (automatic),78.75,3600.65,No
3365-SAIGS,Female,Yes,Electronic check,83.55,1329.15,No
9828-AOQLM,Female,Yes,Electronic check,45.7,45.7,Yes
8022-BECSI,Male,No,Mailed check,19.6,422.5,No
8000-REIQB,Female,Yes,Electronic check,69.95,69.95,Yes
9993-LHIEB,Male,No,Mailed check,67.85,4627.65,No
0266-CLZKZ,Female,Yes,Bank transfer (automatic),105.65,6717.9,No
7615-ESMYF,Female,No,Electronic check,44.6,97.1,Yes
3858-VOBET,Male,Yes,Electronic check,74.95,1710.45,Yes
7020-OZKXZ,Female,No,Credit card (automatic),75.5,637.4,No
3977-QCRSL,Female,No,Mailed check,20.15,117.95,No
0017-DINOC,Male,No,Credit card (automatic),45.2,2460.55,No
1447-PJGGA,Female,Yes,Electronic check,95.25,5464.65,Yes
8565-CLBZW,Male,Yes,Mailed check,89.85,2165.05,Yes
9139-WQQDY,Female,No,Mailed check,100.45,4941.8,Yes
0224-HJAPT,Male,No,Electronic check,47.15,223.15,Yes
8086-OVPWV,Male,Yes,Electronic check,80.2,181.1,Yes
9430-FRQOC,Female,Yes,Mailed check,87.1,341.45,Yes
7639-OPLNG,Male,Yes,Bank transfer (automatic),79.25,5731.85,No
3074-GQWYX,Male,Yes,Bank transfer (automatic),75.9,357.75,Yes
1492-QGCLU,Male,No,Electronic check,85.7,4616.1,No
6845-RGTYS,Female,Yes,Electronic check,98.75,4533.7,Yes
7328-OWMOM,Female,No,Credit card (automatic),20.1,589.25,No
4418-LZMSV,Male,No,Bank transfer (automatic),61.8,750.1,No
5155-AZQPB,Female,No,Mailed check,49.9,1410.25,No
8861-HGGKB,Female,No,Electronic check,86.45,830.85,Yes
1087-GRUYI,Male,No,Bank transfer (automatic),20.4,743.5,No
7065-YUNRY,Female,Yes,Mailed check,45.3,45.3,Yes
7694-VLBWQ,Male,No,Electronic check,104.1,7040.85,Yes
2546-KZAAT,Male,Yes,Mailed check,75.4,3865.45,No
0181-RITDD,Male,No,Mailed check,108.15,6825.65,No
5989-PGKJB,Female,Yes,Electronic check,86.25,1340.1,No
4795-KTRTH,Female,Yes,Electronic check,81,371.65,Yes
8272-ONJLV,Male,No,Electronic check,95.7,1184,No
1488-PBLJN,Female,Yes,Bank transfer (automatic),116.85,8477.7,No
0308-GIQJT,Male,No,Bank transfer (automatic),105.75,7382.85,No
3778-FOAQW,Female,No,Mailed check,20.15,456.85,No
4452-ROHMO,Female,No,Mailed check,19.6,331.6,No
6481-OGDOO,Male,Yes,Credit card (automatic),90.6,6056.15,Yes
3090-LETTY,Male,No,Bank transfer (automatic),60.95,134.6,No
5349-AZPEW,Female,No,Mailed check,25.05,125.5,No
3753-TSEMP,Female,No,Electronic check,88.15,1390.6,Yes
8305-VHZBZ,Male,Yes,Mailed check,20.2,20.2,Yes
9720-JJJOR,Male,Yes,Bank transfer (automatic),60.3,2511.3,No
8100-HZZLJ,Female,Yes,Electronic check,63.95,2737.05,No
8775-ERLNB,Male,No,Electronic check,74.3,74.3,No
8309-IEYJD,Female,Yes,Mailed check,70.6,70.6,No
9172-JITSM,Female,Yes,Electronic check,90.8,2361.8,Yes
6298-QDFNH,Male,Yes,Electronic check,79.35,1730.35,Yes
7398-HPYZQ,Male,No,Bank transfer (automatic),90.55,6404,No
3546-GHEAE,Male,No,Mailed check,19.45,165.35,No
7361-YPXFS,Female,No,Bank transfer (automatic),64.45,1867.6,No
6557-BZXLQ,Male,No,Electronic check,69.65,1043.3,No
2550-QHZGP,Male,No,Mailed check,19.5,128.6,No
7519-JTWQH,Female,Yes,Bank transfer (automatic),110.5,7455.45,No
2538-OIMXF,Female,No,Mailed check,24.7,24.7,No
8543-MSDMF,Male,Yes,Electronic check,77.4,206.15,No
9961-JBNMK,Male,Yes,Bank transfer (automatic),96.8,2030.3,Yes
1170-SASML,Female,Yes,Bank transfer (automatic),85.4,5869.4,No
